iter	Passed	Remaining
666	5165	2578
667	5172	2570
668	5180	2562
669	5187	2554
670	5194	2546
671	5201	2539
672	5209	2531
673	5216	2523
674	5224	2515
675	5231	2507
676	5238	2499
677	5245	2491
678	5253	2483
679	5260	2475
680	5267	2467
681	5275	2459
682	5282	2451
683	5290	2443
684	5297	2436
685	5304	2428
686	5312	2420
687	5319	2412
688	5327	2404
689	5334	2396
690	5341	2388
691	5348	2380
692	5356	2372
693	5363	2364
694	5370	2357
695	5378	2349
696	5385	2341
697	5392	2333
698	5400	2325
699	5407	2317
700	5414	2309
701	5422	2301
702	5429	2293
703	5438	2286
704	5447	2279
705	5455	2271
706	5462	2263
707	5470	2256
708	5478	2248
709	5485	2240
710	5493	2232
711	5500	2225
712	5507	2216
713	5514	2209
714	5522	2201
715	5529	2193
716	5536	2185
717	5544	2177
718	5551	2169
719	5558	2161
720	5566	2153
721	5573	2145
722	5581	2138
723	5588	2130
724	5596	2122
725	5603	2114
726	5611	2107
727	5618	2099
728	5625	2091
729	5632	2083
730	5639	2075
731	5647	2067
732	5654	2059
733	5661	2051
734	5669	2044
735	5676	2036
736	5683	2028
737	5691	2020
738	5698	2012
739	5706	2004
740	5713	1996
741	5720	1988
742	5727	1981
743	5735	1973
744	5742	1965
745	5749	1957
746	5756	1949
747	5764	1941
748	5771	1933
749	5778	1926
750	5786	1918
751	5793	1910
752	5800	1902
753	5808	1894
754	5815	1887
755	5822	1879
756	5829	1871
757	5836	1863
758	5844	1855
759	5851	1847
760	5859	1840
761	5866	1832
762	5873	1824
763	5880	1816
764	5888	1808
765	5895	1800
766	5902	1793
767	5909	1785
768	5917	1777
769	5924	1769
770	5931	1761
771	5938	1753
772	5946	1746
773	5953	1738
774	5960	1730
775	5967	1722
776	5975	1714
777	5982	1707
778	5989	1699
779	5996	1691
780	6004	1683
781	6011	1675
782	6019	1668
783	6026	1660
784	6034	1652
785	6041	1645
786	6049	1637
787	6057	1629
788	6065	1621
789	6072	1614
790	6080	1606
791	6087	1598
792	6095	1591
793	6102	1583
794	6109	1575
795	6117	1567
796	6124	1559
797	6131	1552
798	6138	1544
799	6146	1536
800	6153	1528
801	6160	1520
802	6168	1513
803	6175	1505
804	6182	1497
805	6189	1489
806	6196	1482
807	6204	1474
808	6211	1466
809	6218	1458
810	6225	1450
811	6232	1442
812	6239	1435
813	6246	1427
814	6254	1419
815	6262	1412
816	6269	1404
817	6276	1396
818	6284	1388
819	6291	1381
820	6298	1373
821	6305	1365
822	6312	1357
823	6320	1349
824	6327	1342
825	6335	1334
826	6342	1326
827	6349	1319
828	6357	1311
829	6364	1303
830	6371	1295
831	6379	1288
832	6386	1280
833	6394	1272
834	6401	1264
835	6408	1257
836	6415	1249
837	6423	1241
838	6430	1233
839	6437	1226
840	6444	1218
841	6451	1210
842	6459	1202
843	6466	1195
844	6473	1187
845	6480	1179
846	6488	1172
847	6495	1164
848	6502	1156
849	6509	1148
850	6516	1140
851	6524	1133
852	6531	1125
853	6538	1117
854	6545	1110
855	6553	1102
856	6560	1094
857	6567	1087
858	6574	1079
859	6582	1071
860	6589	1063
861	6596	1056
862	6603	1048
863	6610	1040
864	6617	1032
865	6625	1025
866	6631	1017
867	6639	1009
868	6646	1001
869	6654	994
870	6661	986
871	6668	978
872	6675	971
873	6682	963
874	6690	955
875	6696	947
876	6704	940
877	6711	932
878	6719	924
879	6726	917
880	6733	909
881	6741	901
882	6748	894
883	6755	886
884	6762	878
885	6769	871
886	6777	863
887	6784	855
888	6791	847
889	6798	840
890	6805	832
891	6813	824
892	6820	817
893	6827	809
894	6835	801
895	6842	794
896	6849	786
897	6856	778
898	6863	771
899	6871	763
900	6878	755
901	6885	748
902	6893	740
903	6900	732
904	6907	725
905	6914	717
906	6921	709
907	6928	702
908	6936	694
909	6943	686
910	6951	679
911	6958	671
912	6965	663
913	6972	656
914	6979	648
915	6986	640
916	6993	633
917	7001	625
918	7007	617
919	7015	610
920	7022	602
921	7029	594
922	7037	587
923	7044	579
924	7052	571
925	7059	564
926	7066	556
927	7073	548
928	7081	541
929	7088	533
930	7096	525
931	7103	518
932	7110	510
933	7117	502
934	7124	495
935	7131	487
936	7139	480
937	7146	472
938	7154	464
939	7161	457
940	7169	449
941	7176	441
942	7183	434
943	7190	426
944	7198	418
945	7205	411
946	7213	403
947	7220	396
948	7227	388
949	7235	380
950	7242	373
951	7250	365
952	7257	357
953	7264	350
954	7272	342
955	7280	335
956	7287	327
957	7294	319
958	7301	312
959	7309	304
960	7316	296
961	7323	289
962	7331	281
963	7338	274
964	7346	266
965	7354	258
966	7361	251
967	7369	243
968	7377	236
969	7384	228
970	7391	220
971	7399	213
972	7407	205
973	7414	197
974	7422	190
975	7429	182
976	7437	175
977	7444	167
978	7452	159
979	7459	152
980	7466	144
981	7474	137
982	7481	129
983	7488	121
984	7495	114
985	7502	106
986	7510	98
987	7517	91
988	7524	83
989	7531	76
990	7539	68
991	7546	60
992	7554	53
993	7561	45
994	7568	38
995	7575	30
996	7582	22
997	7590	15
998	7597	7
999	7604	0
